t,a,b,c,q0,q1,q2,q3,phi
0.8200000000000001,0.29296601314203374,0.049157912402520876,0.1883842830541794,0.9842703342108302,0.14755554744498567,0.01048171345656062,0.0965888362789704,0.0164
0.8250000000000001,0.29306159803226334,0.04995879321420009,0.19104211552723158,0.9841187076944395,0.14765271025829244,0.01067529685742606,0.0979545014596714,0.0165
0.8300000000000001,0.293142145301516,0.050763464546644585,0.19371178477061726,0.9839654751271298,0.14774346286552514,0.010870371260713295,0.09932596824093382,0.0166
0.835,0.2932079576827016,0.05157179730910568,0.1963930016913424,0.9838106058835582,0.14782796012915855,0.01106690610906009,0.1007030761409568,0.0167
0.84,0.29325934198494186,0.052383661736502135,0.19908547425299783,0.9836540698754805,0.14790635846621533,0.01126486997497924,0.10208566327900107,0.0168
0.845,0.2932966090935703,0.05319892738942004,0.2017889074757587,0.9834958375819578,0.1479788158365988,0.011464230529878624,0.10347356638735686,0.0169
0.85,0.293320073970132,0.05401746315411287,0.20450300343638494,0.9833358800792886,0.14804549173133397,0.011664954513324286,0.10486662082340997,0.017
0.855,0.29333005565238374,0.05483913724250153,0.207227461268221,0.9831741690706444,0.14810654716072041,0.011867007702565567,0.1062646605817982,0.0171
0.86,0.29332687725429424,0.055663817192174274,0.20996197716119597,0.9830106769153959,0.14816214464240182,0.01207035488234136,0.10766751830665384,0.0172
0.865,0.2933108643584101,0.05649137155702182,0.21270624582188133,0.9828453766610183,0.14821244749355464,0.012274960626020931,0.10907502613183587,0.0173
0.87,0.2932823464407676,0.057321668720300874,0.21545995922721703,0.982678242053479,0.14825762045740132,0.012480788700881321,0.11048701500356095,0.0174
0.875,0.2932416580217562,0.058154575528587694,0.21822280555369938,0.9825092475688884,0.14829783018084902,0.012687801382672923,0.11190331407667434,0.0175
0.88,0.2931891367291804,0.05898995916182012,0.22099447091030205,0.9823383684488456,0.14833324435644044,0.012895960324373908,0.11332375169956452,0.0176
0.885,0.2931251232977295,0.0598276871338306,0.22377463933895356,0.9821655807232931,0.14836403171405463,0.013105226530977888,0.11474815542569419,0.0177
0.89,0.29304996156897783,0.06066762729234621,0.22656299281453743,0.9819908612328739,0.14839036201283629,0.013315560334464752,0.11617635202482919,0.0178
0.895,0.2929639984913846,0.06150964781898869,0.22935921124489225,0.9818141876507887,0.14841240603312653,0.013526921369223233,0.11760816749423056,0.0179
0.9,0.2928675841202939,0.06235361722927439,0.2321629724708115,0.9816355385041315,0.14843033556839996,0.013739268547938513,0.11904342706980289,0.018000000000000002
